unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,income_category,clv_category
0,DK49336,arizona,4809.21696,no,Basic,college,2011-02-18,Employed,m,48029,Suburban,Married,61,7.0,52,0.0,9,corporate auto,Corporate L3,Offer3,Agent,292.8,four-door car,Medsize,A,2,medium,medium
1,KX64629,california,2228.525238,no,Basic,college,2011-01-18,Unemployed,f,0,Suburban,Single,64,3.0,26,0.0,1,personal auto,Personal L3,Offer4,Call Center,744.924331,four-door car,Medsize,A,1,low,medium
2,LZ68649,washington,14947.9173,no,Basic,bachelor,2011-02-10,Employed,m,22139,Suburban,Single,100,34.0,31,0.0,2,personal auto,Personal L3,Offer3,Call Center,480.0,suv,Medsize,A,2,low,high
3,XL78013,oregon,22332.43946,yes,Extended,college,2011-01-11,Employed,m,49078,Suburban,Single,97,10.0,3,0.0,2,corporate auto,Corporate L3,Offer2,Branch,484.013411,four-door car,Medsize,A,1,medium,high
4,QA50777,oregon,9025.067525,no,Premium,bachelor,2011-01-17,Medical Leave,f,23675,Suburban,Married,117,15.149070740488469,31,0.384256105867471,7,personal auto,Personal L2,Offer1,Branch,707.925645,four-door car,Medsize,A,1,low,high
5,HO81102,california,4745.181764,no,Basic,high school or below,2011-02-14,Employed,m,50549,Suburban,Divorced,61,2.0,73,0.0,7,personal auto,Personal L3,Offer1,Agent,292.8,four-door car,Medsize,A,2,medium,medium
6,IW72280,california,5035.035257,no,Basic,doctor,2011-02-14,Employed,f,37405,Urban,Married,63,8.0,99,3.0,4,corporate auto,Corporate L2,Offer2,Branch,287.556107,four-door car,Medsize,A,2,medium,high
7,IH64929,california,4956.247235,no,Basic,high school or below,2011-02-24,Employed,m,87197,Urban,Single,63,35.0,45,0.0,3,personal auto,Personal L2,Offer2,Branch,247.402353,two-door car,Medsize,A,2,high,medium
8,FM55990,california,5989.773931,yes,Premium,college,2011-01-19,Employed,m,66839,Suburban,Single,154,33.0,24,0.0,1,personal auto,Personal L1,Offer2,Branch,739.2,sports car,Medsize,A,1,medium,high
9,QX31376,oregon,17114.32815,no,Extended,master,2011-01-04,Employed,f,70961,Suburban,Married,85,19.0,8,0.0,2,corporate auto,Corporate L3,Offer2,Agent,408.0,four-door car,Small,A,1,high,high
10,HG93801,arizona,5154.764074,no,Extended,high school or below,2011-01-02,Employed,m,82730,Urban,Married,127,13.0,31,0.0,1,corporate auto,Corporate L3,Offer2,Branch,442.521087,suv,Large,A,1,high,high
11,GE63585,california,2420.711888,no,Basic,bachelor,2011-02-07,Employed,m,31710,Urban,Divorced,62,5.0,29,0.0,1,corporate auto,Corporate L3,Offer1,Call Center,199.551735,two-door car,Medsize,A,2,medium,medium
12,EO51920,oregon,19955.25713,no,Extended,high school or below,2011-01-31,Employed,f,69096,Rural,Married,99,24.0,32,0.0,2,corporate auto,Corporate L3,Offer1,Agent,64.669515,four-door car,Medsize,A,1,medium,high
13,KR82385,california,5454.587929,no,Basic,master,2011-01-26,Employed,m,66334,Suburban,Single,69,25.0,25,0.0,4,personal auto,Personal L3,Offer4,Call Center,331.2,two-door car,Medsize,A,1,medium,high
14,TL59568,arizona,12836.00951,no,Premium,high school or below,2011-02-28,Unemployed,m,0,Suburban,Married,116,6.0,28,0.0,2,personal auto,Personal L2,Offer3,Agent,835.2,two-door car,Medsize,A,2,low,high
